participant_id,type,display_name,country_id
athlete_Jens_Lehmann_DEU,athlete,Jens Lehmann,DEU
athlete_Stefan_Steinweg_DEU,athlete,Stefan Steinweg,DEU
athlete_Rob_Hayles_GBR,athlete,Rob Hayles,GBR
athlete_Yvonne_McGregor_GBR,athlete,Yvonne McGregor,GBR
athlete_Judith_Arndt_DEU,athlete,Judith Arndt,DEU
athlete_Elena_Tchalikh_RUS,athlete,Elena Tchalikh,RUS
athlete_Frédéric_Magné_FRA,athlete,Frédéric Magné,FRA
athlete_Jens_Fiedler_DEU,athlete,Jens Fiedler,DEU
athlete_Pavel_Burá_CZE,athlete,Pavel Buráň,CZE
DEU,team,Germany,DEU
ESP,team,Spain,ESP
ARG,team,Argentina,ARG
athlete_Joan_Llaneras_ESP,athlete,Joan Llaneras,ESP
athlete_Matthew_Gilmore_BEL,athlete,Matthew Gilmore,BEL
athlete_Franz_Stocher_AUT,athlete,Franz Stocher,AUT
athlete_Marion_Clignet_FRA,athlete,Marion Clignet,FRA
athlete_Olga_Sliusareva_RUS,athlete,Olga Sliusareva,RUS
athlete_Jan_van_Eijden_DEU,athlete,Jan van Eijden,DEU
athlete_Laurent_Gané_FRA,athlete,Laurent Gané,FRA
athlete_Natalia_Markovnichenko_BLR,athlete,Natalia Markovnichenko,BLR
athlete_Lori-Ann_Muenzer_CAN,athlete,Lori-Ann Muenzer,CAN
athlete_Katrin_Meinke_DEU,athlete,Katrin Meinke,DEU
GBR,team,United Kingdom,GBR
FRA,team,France,FRA
athlete_Arnaud_Tournant_FRA,athlete,Arnaud Tournant,FRA
athlete_Sören_Lausberg_DEU,athlete,Sören Lausberg,DEU
athlete_Jason_Queally_GBR,athlete,Jason Queally,GBR
athlete_Jiang_Cuihua_CHN,athlete,Jiang Cuihua,CHN
athlete_Yan_Wang_CHN,athlete,Yan Wang,CHN
athlete_Alexander_Symonenko_UKR,athlete,Alexander Symonenko,UKR
athlete_Leontien_Zijlaard-Van_Moorsel_NLD,athlete,Leontien Zijlaard-Van Moorsel,NLD
athlete_Ryan_Bayley_AUS,athlete,Ryan Bayley,AUS
athlete_Bruno_Risi_CHE,athlete,Bruno Risi,CHE
athlete_Juan_Curuchet_ARG,athlete,Juan Curuchet,ARG
athlete_Katherine_Bates_AUS,athlete,Katherine Bates,AUS
athlete_Belem_Guerrero_MEX,athlete,Belem Guerrero,MEX
athlete_Florian_Rousseau_FRA,athlete,Florian Rousseau,FRA
athlete_Svetlana_Grankovskaya_RUS,athlete,Svetlana Grankovskaya,RUS
athlete_Tammy_Thomas_USA,athlete,Tammy Thomas,USA
UKR,team,Ukraine,UKR
AUS,team,Australia,AUS
