country_id,iso2,iso3,name_en,name_fr
FRA,FR,FRA,France,
GBR,GB,GBR,United Kingdom,
ZAF,ZA,ZAF,South Africa,
USA,US,USA,United States,
CAN,CA,CAN,Canada,
CHE,CH,CHE,Switzerland,
DEU,DE,DEU,Germany,
AUS,AU,AUS,Australia,
BEL,BE,BEL,Belgium,
NOR,NO,NOR,Norway,
POL,PL,POL,Poland,
RUS,RU,RUS,Russian Federation,
NZL,NZ,NZL,New Zealand,
JPN,JP,JPN,Japan,
ESP,ES,ESP,Spain,
SWE,SE,SWE,Sweden,
CHN,CN,CHN,China,
CZE,CZ,CZE,Czechia,
ITA,IT,ITA,Italy,
UKR,UA,UKR,Ukraine,
DNK,DK,DNK,Denmark,
NLD,NL,NLD,Netherlands,
AUT,AT,AUT,Austria,
SVN,SI,SVN,Slovenia,
IRL,IE,IRL,Ireland,
