country_id,iso2,iso3,name_en,name_fr
ITA,IT,ITA,Italy,
AUS,AU,AUS,Australia,
ESP,ES,ESP,Spain,
GRC,GR,GRC,Greece,
FRA,FR,FRA,France,
RUS,RU,RUS,Russian Federation,
GBR,GB,GBR,United Kingdom,
NOR,NO,NOR,Norway,
UKR,UA,UKR,Ukraine,
FIN,FI,FIN,Finland,
DEU,DE,DEU,Germany,
PRT,PT,PRT,Portugal,
BRA,BR,BRA,Brazil,
POL,PL,POL,Poland,
ISR,IL,ISR,Israel,
NZL,NZ,NZL,New Zealand,
SWE,SE,SWE,Sweden,
ARG,AR,ARG,Argentina,
USA,US,USA,United States,
DNK,DK,DNK,Denmark,
NLD,NL,NLD,Netherlands,
AUT,AT,AUT,Austria,
SVN,SI,SVN,Slovenia,
EST,EE,EST,Estonia,
BLR,BY,BLR,Belarus,
BEL,BE,BEL,Belgium,
HRV,HR,HRV,Croatia,
JPN,JP,JPN,Japan,
HUN,HU,HUN,Hungary,
CYP,CY,CYP,Cyprus,
CHN,CN,CHN,China,
CHE,CH,CHE,Switzerland,
SGP,SG,SGP,Singapore,
CAN,CA,CAN,Canada,
