country_id,iso2,iso3,name_en,name_fr
USA,US,USA,United States,
ESP,ES,ESP,Spain,
ARG,AR,ARG,Argentina,
GRE,,GRE,Greece,
LTU,LT,LTU,Lithuania,
TUR,TR,TUR,Türkiye,
ITA,IT,ITA,Italy,
SRB,RS,SRB,Serbia,
AUS,AU,AUS,Australia,
CHN,CN,CHN,China,
RUS,RU,RUS,Russian Federation,
FRA,FR,FRA,France,
BRA,BR,BRA,Brazil,
SLO,,SLO,Slovenia,
CRO,,CRO,Croatia,
CZE,CZ,CZE,Czechia,
GER,,GER,Germany,
CAN,CA,CAN,Canada,
LAT,,LAT,Latvia,
KOR,KR,KOR,"Korea, Republic of",
CUB,CU,CUB,Cuba,
BLR,BY,BLR,Belarus,
JPN,JP,JPN,Japan,
BEL,BE,BEL,Belgium,
PUR,,PUR,Puerto Rico,
NGR,,NGR,Nigeria,
