competition_id,competition_name,year,source_year,event_date,discipline_key,discipline_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,score,source_url
davis_cup,Davis Cup,2001,2001,2001-12-31,tennis,Tennis,men,1,gold,team,France,France,FRA,3–2*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2001,2001,2001-12-31,tennis,Tennis,men,2,silver,team,Australia,Australia,AUS,3–2*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2002,2002,2002-12-31,tennis,Tennis,men,1,gold,team,Russia,Russia,RUS,3–2*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2002,2002,2002-12-31,tennis,Tennis,men,2,silver,team,France,France,FRA,3–2*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2003,2003,2003-12-31,tennis,Tennis,men,1,gold,team,Australia,Australia,AUS,3–1,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2003,2003,2003-12-31,tennis,Tennis,men,2,silver,team,Spain,Spain,ESP,3–1,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2004,2004,2004-12-31,tennis,Tennis,men,1,gold,team,Spain,Spain,ESP,3–2,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2004,2004,2004-12-31,tennis,Tennis,men,2,silver,team,United States,United States,USA,3–2,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2005,2005,2005-12-31,tennis,Tennis,men,1,gold,team,Croatia,Croatia,CRO,3–2*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2005,2005,2005-12-31,tennis,Tennis,men,2,silver,team,Slovakia,Slovakia,SVK,3–2*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2006,2006,2006-12-31,tennis,Tennis,men,1,gold,team,Russia,Russia,RUS,3–2,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2006,2006,2006-12-31,tennis,Tennis,men,2,silver,team,Argentina,Argentina,ARG,3–2,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2007,2007,2007-12-31,tennis,Tennis,men,1,gold,team,United States,United States,USA,4–1,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2007,2007,2007-12-31,tennis,Tennis,men,2,silver,team,Russia,Russia,RUS,4–1,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2008,2008,2008-12-31,tennis,Tennis,men,1,gold,team,Spain,Spain,ESP,3–1*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2008,2008,2008-12-31,tennis,Tennis,men,2,silver,team,Argentina,Argentina,ARG,3–1*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2009,2009,2009-12-31,tennis,Tennis,men,1,gold,team,Spain,Spain,ESP,5–0,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2009,2009,2009-12-31,tennis,Tennis,men,2,silver,team,Czech Republic,Czech Republic,CZE,5–0,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2010,2010,2010-12-31,tennis,Tennis,men,1,gold,team,Serbia,Serbia,SRB,3–2,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2010,2010,2010-12-31,tennis,Tennis,men,2,silver,team,France,France,FRA,3–2,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2011,2011,2011-12-31,tennis,Tennis,men,1,gold,team,Spain,Spain,ESP,3–1,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2011,2011,2011-12-31,tennis,Tennis,men,2,silver,team,Argentina,Argentina,ARG,3–1,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2012,2012,2012-12-31,tennis,Tennis,men,1,gold,team,Czech Republic,Czech Republic,CZE,3–2,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2012,2012,2012-12-31,tennis,Tennis,men,2,silver,team,Spain,Spain,ESP,3–2,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2013,2013,2013-12-31,tennis,Tennis,men,1,gold,team,Czech Republic,Czech Republic,CZE,3–2*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2013,2013,2013-12-31,tennis,Tennis,men,2,silver,team,Serbia,Serbia,SRB,3–2*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2014,2014,2014-12-31,tennis,Tennis,men,1,gold,team,Switzerland,Switzerland,SUI,3–1*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2014,2014,2014-12-31,tennis,Tennis,men,2,silver,team,France,France,FRA,3–1*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2015,2015,2015-12-31,tennis,Tennis,men,1,gold,team,Great Britain,Great Britain,GBR,3–1*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2015,2015,2015-12-31,tennis,Tennis,men,2,silver,team,Belgium,Belgium,BEL,3–1*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2016,2016,2016-12-31,tennis,Tennis,men,1,gold,team,Argentina,Argentina,ARG,3–2*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2016,2016,2016-12-31,tennis,Tennis,men,2,silver,team,Croatia,Croatia,CRO,3–2*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2017,2017,2017-12-31,tennis,Tennis,men,1,gold,team,France,France,FRA,3–2,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2017,2017,2017-12-31,tennis,Tennis,men,2,silver,team,Belgium,Belgium,BEL,3–2,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2018,2018,2018-12-31,tennis,Tennis,men,1,gold,team,Croatia,Croatia,CRO,3–1*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
davis_cup,Davis Cup,2018,2018,2018-12-31,tennis,Tennis,men,2,silver,team,France,France,FRA,3–1*,https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions
