country_id,iso2,iso3,name_en,name_fr
URS,,URS,Soviet Union,
TCH,,TCH,Czechoslovakia,
BGR,BG,BGR,Bulgaria,
ROU,RO,ROU,Romania,
BRA,BR,BRA,Brazil,
GDR,,GDR,East Germany,
POL,PL,POL,Poland,
ITA,IT,ITA,Italy,
CUB,CU,CUB,Cuba,
KOR,KR,KOR,"Korea, Republic of",
ARG,AR,ARG,Argentina,
JPN,JP,JPN,Japan,
USA,US,USA,United States,
NLD,NL,NLD,Netherlands,
YUG,,YUG,Yugoslavia,
RUS,RU,RUS,Russian Federation,
FRA,FR,FRA,France,
SCG,,SCG,Serbia and Montenegro,
SRB,RS,SRB,Serbia,
DEU,DE,DEU,Germany,
SVN,SI,SVN,Slovenia,
