sport_name,discipline_name
Aquatics,Artistic Swimming
Aquatics,Diving
Aquatics,Marathon Swimming
Aquatics,Swimming
Aquatics,Water Polo
Archery,Archery
Athletics,Athletics
Badminton,Badminton
Basketball,Basketball
Basketball,3x3 Basketball
Boxing,Boxing
Breaking,Breaking
Canoe,Canoe Slalom
Canoe,Canoe Sprint
Cycling,BMX Freestyle
Cycling,BMX Racing
Cycling,Mountain Bike
Cycling,Road Cycling
Cycling,Track Cycling
Equestrian,Dressage
Equestrian,Eventing
Equestrian,Jumping
Fencing,Fencing
Football,Football
Golf,Golf
Gymnastics,Artistic Gymnastics
Gymnastics,Rhythmic Gymnastics
Gymnastics,Trampoline Gymnastics
Handball,Handball
Hockey,Hockey
Judo,Judo
Modern Pentathlon,Modern Pentathlon
Rowing,Rowing
Rugby,Rugby Sevens
Sailing,Sailing
Shooting,Shooting
Skateboarding,Skateboarding
Sport Climbing,Sport Climbing
Surfing,Surfing
Table Tennis,Table Tennis
Taekwondo,Taekwondo
Tennis,Tennis
Triathlon,Triathlon
Volleyball,Beach Volleyball
Volleyball,Volleyball
Weightlifting,Weightlifting
Wrestling,Freestyle Wrestling
Wrestling,Greco-Roman Wrestling
