discipline_id,discipline_name,discipline_slug,sport_id,confidence,mapping_source,created_at_utc
100m,100m,100m,athletics,0.99,yaml_override,2026-02-20T17:42:57+00:00
110m-hurdles,110m hurdles,110m-hurdles,athletics,0.99,yaml_override,2026-02-20T17:42:57+00:00
200m,200m,200m,athletics,0.99,yaml_override,2026-02-20T17:42:57+00:00
4x100m-relay,4x100m Relay,4x100m-relay,athletics,0.99,yaml_override,2026-02-20T17:42:57+00:00
road-race,Road Race,road-race,cycling,0.99,yaml_override,2026-02-20T17:42:57+00:00
time-trial,Time Trial,time-trial,cycling,0.99,yaml_override,2026-02-20T17:42:57+00:00
epee,Epee,epee,fencing,0.99,yaml_override,2026-02-20T17:42:57+00:00
foil,Foil,foil,fencing,0.99,yaml_override,2026-02-20T17:42:57+00:00
sabre,Sabre,sabre,fencing,0.99,yaml_override,2026-02-20T17:42:57+00:00
double-sculls,Double Sculls,double-sculls,rowing,0.99,yaml_override,2026-02-20T17:42:57+00:00
single-sculls,Single Sculls,single-sculls,rowing,0.99,yaml_override,2026-02-20T17:42:57+00:00
alpine-skiing,Alpine skiing,alpine-skiing,skiing,0.99,yaml_override,2026-02-20T17:42:57+00:00
cross-country-skiing,Cross-country skiing,cross-country-skiing,skiing,0.99,yaml_override,2026-02-20T17:42:57+00:00
100m-butterfly,100m Butterfly,100m-butterfly,swimming,0.99,yaml_override,2026-02-20T17:42:57+00:00
200m-breaststroke,200m Breaststroke,200m-breaststroke,swimming,0.99,yaml_override,2026-02-20T17:42:57+00:00
50m-freestyle,50m Freestyle,50m-freestyle,swimming,0.99,yaml_override,2026-02-20T17:42:57+00:00
wrestling-freestyle,Wrestling Freestyle,wrestling-freestyle,wrestling,0.99,yaml_override,2026-02-20T17:42:57+00:00
wrestling-greco-roman,Wrestling Greco-Roman,wrestling-greco-roman,wrestling,0.99,yaml_override,2026-02-20T17:42:57+00:00
fifa-men-ranking,FIFA Men Ranking,fifa-men-ranking,football,1.0,connector_fifa_ranking_history,2026-02-20T17:54:56+00:00
fifa-world-cup-final-ranking,FIFA World Cup Final Ranking,fifa-world-cup-final-ranking,football,1.0,connector_world_cup_history,2026-02-20T19:02:00+00:00
archery,Archery,archery,archery,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
athletics,Athletics,athletics,athletics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
badminton,Badminton,badminton,badminton,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
basketball,Basketball,basketball,basketball,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
boxing,Boxing,boxing,boxing,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
fencing,Fencing,fencing,fencing,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
football,Football,football,football,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
golf,Golf,golf,golf,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
handball,Handball,handball,handball,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
hockey,Hockey,hockey,hockey,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
judo,Judo,judo,judo,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
modern-pentathlon,Modern Pentathlon,modern-pentathlon,modern-pentathlon,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
rowing,Rowing,rowing,rowing,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
sailing,Sailing,sailing,sailing,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
shooting,Shooting,shooting,shooting,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
sport-climbing,Sport Climbing,sport-climbing,sport-climbing,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
surfing,Surfing,surfing,surfing,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
table-tennis,Table Tennis,table-tennis,table-tennis,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
taekwondo,Taekwondo,taekwondo,taekwondo,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
tennis,Tennis,tennis,tennis,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
triathlon,Triathlon,triathlon,triathlon,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
weightlifting,Weightlifting,weightlifting,weightlifting,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
wrestling,Wrestling,wrestling,wrestling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
art-competitions,Art Competitions,art-competitions,art-competitions,0.95,connector_olympics_keith_history,2026-02-20T19:43:38+00:00
baseball-baseball-softball,Baseball (Baseball/Softball),baseball-baseball-softball,baseball-baseball-softball,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
softball-baseball-softball,Softball (Baseball/Softball),softball-baseball-softball,softball-baseball-softball,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
artistic-gymnastics-gymnastics,Artistic Gymnastics (Gymnastics),artistic-gymnastics-gymnastics,artistic-gymnastics-gymnastics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
artistic-swimming-aquatics,Artistic Swimming (Aquatics),artistic-swimming-aquatics,artistic-swimming-aquatics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
australian-rules-football,Australian Rules Football,australian-rules-football,australian-rules-football,0.95,connector_olympics_keith_history,2026-02-20T19:33:41+00:00
ballooning-air-sports,Ballooning (Air Sports),ballooning-air-sports,ballooning-air-sports,0.95,connector_olympics_keith_history,2026-02-20T19:33:41+00:00
bandy,Bandy,bandy,bandy,0.95,connector_olympics_keith_history,2026-02-20T19:33:41+00:00
basketball-basketball,Basketball (Basketball),basketball-basketball,basketball-basketball,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
basque-pelota,Basque pelota,basque-pelota,basque-pelota,0.95,connector_olympics_keith_history,2026-02-20T19:43:38+00:00
beach-volleyball-volleyball,Beach Volleyball (Volleyball),beach-volleyball-volleyball,beach-volleyball-volleyball,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
biathlon,Biathlon,biathlon,biathlon,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
bicycle-polo-cycling,Bicycle Polo (Cycling),bicycle-polo-cycling,bicycle-polo-cycling,0.95,connector_olympics_keith_history,2026-02-20T19:33:41+00:00
bobsleigh-bobsleigh,Bobsleigh (Bobsleigh),bobsleigh-bobsleigh,bobsleigh-bobsleigh,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
canoe-marathon-canoeing,Canoe Marathon (Canoeing),canoe-marathon-canoeing,canoe,0.95,connector_olympics_keith_history,2026-02-20T19:43:38+00:00
canoe-slalom-canoeing,Canoe Slalom (Canoeing),canoe-slalom-canoeing,canoe,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
canoe-sprint-canoeing,Canoe Sprint (Canoeing),canoe-sprint-canoeing,canoe,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cricket,Cricket,cricket,cricket,1.0,connector_icc_cricket_world_cup_history,2026-02-20T23:15:39+00:00
croquet,Croquet,croquet,croquet,0.95,connector_olympics_keith_history,2026-02-20T19:43:38+00:00
curling,Curling,curling,curling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-mountain-bike-cycling,Cycling Mountain Bike (Cycling),cycling-mountain-bike-cycling,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-road-cycling,Cycling Road (Cycling),cycling-road-cycling,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-track-cycling,Cycling Track (Cycling),cycling-track-cycling,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
diving-aquatics,Diving (Aquatics),diving-aquatics,diving-aquatics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
equestrian-dressage-equestrian,Equestrian Dressage (Equestrian),equestrian-dressage-equestrian,equestrian,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
equestrian-driving-equestrian,Equestrian Driving (Equestrian),equestrian-driving-equestrian,equestrian,0.95,connector_olympics_keith_history,2026-02-20T19:43:38+00:00
equestrian-eventing-equestrian,Equestrian Eventing (Equestrian),equestrian-eventing-equestrian,equestrian,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
