participant_id,type,display_name,country_id
DEU,team,Germany,DEU
ITA,team,Italy,ITA
BRA,team,Brazil,BRA
SWE,team,Sweden,SWE
ENG,team,England,ENG
NLD,team,Netherlands,NLD
IRL,team,Ireland,IRL
DNK,team,Denmark,DNK
RUS,team,Russia,RUS
ARG,team,Argentina,ARG
NOR,team,Norway,NOR
ESP,team,Spain,ESP
CHE,team,Switzerland,CHE
FRA,team,France,FRA
COL,team,Colombia,COL
CZE,team,Czechia,CZE
MEX,team,Mexico,MEX
ROU,team,Romania,ROU
HRV,team,Croatia,HRV
YUG,team,Yugoslavia,YUG
PRT,team,Portugal,PRT
PRY,team,Paraguay,PRY
TUR,team,Türkiye,TUR
USA,team,USA,USA
NGA,team,Nigeria,NGA
URY,team,Uruguay,URY
EGY,team,Egypt,EGY
BEL,team,Belgium,BEL
CHL,team,Chile,CHL
AUT,team,Austria,AUT
POL,team,Poland,POL
TCH,team,Czechoslovakia,TCH
HUN,team,Hungary,HUN
63-,team,(63) 11 July Netherlands,63-
KOR,team,Republic of Korea,KOR
0-2,team,(0-2) Netherlands,0-2
MAR,team,Morocco,MAR
A-E,team,a.e.t. Argentina,A-E
URS,team,Soviet Union,URS
BGR,team,Bulgaria,BGR
JUL,team,July Netherlands,JUL
CHN,team,People 's Republic of China,CHN
JPN,team,Japan,JPN
AUS,team,Australia,AUS
GBR,team,Great Britain,GBR
NZL,team,New Zealand,NZL
CAN,team,Canada,CAN
UZB,team,Uzbekistan,UZB
KEN,team,Kenya,KEN
IRN,team,Iran,IRN
UKR,team,Ukraine,UKR
GEO,team,Georgia,GEO
SRB,team,Serbia,SRB
AZE,team,Azerbaijan,AZE
CUB,team,Cuba,CUB
BHR,team,Bahrain,BHR
SVN,team,Slovenia,SVN
TWN,team,Chinese Taipei,TWN
HKG,team,Hong Kong,HKG
PHL,team,Philippines,PHL
DZA,team,Algeria,DZA
IDN,team,Indonesia,IDN
ISR,team,Israel,ISR
KAZ,team,Kazakhstan,KAZ
JAM,team,Jamaica,JAM
ZAF,team,South Africa,ZAF
THA,team,Thailand,THA
ETH,team,Ethiopia,ETH
ECU,team,Ecuador,ECU
GRC,team,Greece,GRC
TUN,team,Tunisia,TUN
BWA,team,Botswana,BWA
LCA,team,Saint Lucia,LCA
UGA,team,Uganda,UGA
DOM,team,Dominican Republic,DOM
GTM,team,Guatemala,GTM
DMA,team,Dominica,DMA
PAK,team,Pakistan,PAK
ARM,team,Armenia,ARM
KGZ,team,Kyrgyzstan,KGZ
PRK,team,Korea DPR,PRK
LTU,team,Lithuania,LTU
IND,team,India,IND
MDA,team,Moldova,MDA
XKX,team,Kosovo,XKX
CYP,team,Cyprus,CYP
FJI,team,Fiji,FJI
JOR,team,Jordan,JOR
MNG,team,Mongolia,MNG
PAN,team,Panama,PAN
TJK,team,Tajikistan,TJK
ALB,team,Albania,ALB
GRD,team,Grenada,GRD
MYS,team,Malaysia,MYS
PRI,team,Puerto Rico,PRI
CPV,team,Cape Verde,CPV
CIV,team,Ivory Coast,CIV
PER,team,Peru,PER
QAT,team,Qatar,QAT
SGP,team,Singapore,SGP
SVK,team,Slovakia,SVK
ZMB,team,Zambia,ZMB
nation_LTU,team,LTU nation team,LTU
nation_NED,team,NED nation team,NED
nation_FRA,team,FRA nation team,FRA
nation_USA,team,USA nation team,USA
nation_GER,team,GER nation team,GER
nation_ESP,team,ESP nation team,ESP
athlete_LEE_Wooseok_KOR,athlete,LEE Wooseok,KOR
athlete_KIM_Woojin_KOR,athlete,KIM Woojin,KOR
athlete_ELLISON_Brady_USA,athlete,ELLISON Brady,USA
nation_TUR,team,TUR nation team,TUR
nation_KOR,team,KOR nation team,KOR
athlete_BARBELIN_Lisa_FRA,athlete,BARBELIN Lisa,FRA
athlete_LIM_Sihyeon_KOR,athlete,LIM Sihyeon,KOR
athlete_NAM_Suhyeon_KOR,athlete,NAM Suhyeon,KOR
nation_MEX,team,MEX nation team,MEX
nation_CHN,team,CHN nation team,CHN
athlete_XIAO_Ruoteng_CHN,athlete,XIAO Ruoteng,CHN
athlete_OKA_Shinnosuke_JPN,athlete,OKA Shinnosuke,JPN
