participant_id,type,display_name,country_id
USA,team,United States,USA
FRA,team,France,FRA
AUS,team,Australia,AUS
PHL,team,Philippines,PHL
THA,team,Thailand,THA
ESP,team,Spain,ESP
SWE,team,Sweden,SWE
CAN,team,Canada,CAN
NLD,team,Netherlands,NLD
ZAF,team,South Africa,ZAF
COL,team,Colombia,COL
SCO,team,Scotland,SCO
DNK,team,Denmark,DNK
KOR,team,South Korea,KOR
MEX,team,Mexico,MEX
DEU,team,Germany,DEU
FIN,team,Finland,FIN
ENG,team,England,ENG
AUT,team,Austria,AUT
IRL,team,Ireland,IRL
CHE,team,Switzerland,CHE
JPN,team,Japan,JPN
ITA,team,Italy,ITA
NOR,team,Norway,NOR
TPE,team,Chinese Taipei,TPE
