country_id,iso2,iso3,name_en,name_fr
URY,UY,URY,Uruguay,
ARG,AR,ARG,Argentina,
USA,US,USA,United States,
YUG,,YUG,Yugoslavia,
ITA,IT,ITA,Italy,
TCH,,TCH,Czechoslovakia,
DEU,DE,DEU,Germany,
AUT,AT,AUT,Austria,
HUN,HU,HUN,Hungary,
BRA,BR,BRA,Brazil,
SWE,SE,SWE,Sweden,
ESP,ES,ESP,Spain,
FRA,FR,FRA,France,
CHL,CL,CHL,Chile,
ENG,,ENG,England,
PRT,PT,PRT,Portugal,
URS,,URS,Soviet Union,
NLD,NL,NLD,Netherlands,
POL,PL,POL,Poland,
BEL,BE,BEL,Belgium,
BGR,BG,BGR,Bulgaria,
HRV,HR,HRV,Croatia,
TUR,TR,TUR,Türkiye,
KOR,KR,KOR,"Korea, Republic of",
MAR,MA,MAR,Morocco,
