country_id,iso2,iso3,name_en,name_fr
DEU,DE,DEU,Germany,
ESP,ES,ESP,Spain,
USA,US,USA,United States,
NLD,NL,NLD,Netherlands,
SWE,SE,SWE,Sweden,
ARE,AE,ARE,United Arab Emirates,
ITA,IT,ITA,Italy,
FRA,FR,FRA,France,
AUS,AU,AUS,Australia,
GBR,GB,GBR,United Kingdom,
FIN,FI,FIN,Finland,
IRL,IE,IRL,Ireland,
BEL,BE,BEL,Belgium,
CAN,CA,CAN,Canada,
CHE,CH,CHE,Switzerland,
DNK,DK,DNK,Denmark,
POR,,POR,POR,
SVK,SK,SVK,Slovakia,
AUT,AT,AUT,Austria,
NZL,NZ,NZL,New Zealand,
SAU,SA,SAU,Saudi Arabia,
NOR,NO,NOR,Norway,
HUN,HU,HUN,Hungary,
QAT,QA,QAT,Qatar,
SGP,SG,SGP,Singapore,
BRA,BR,BRA,Brazil,
LVA,LV,LVA,Latvia,
JPN,JP,JPN,Japan,
