country_id,iso2,iso3,name_en,name_fr
SVK,SK,SVK,Slovakia,
DEU,DE,DEU,Germany,
FRA,FR,FRA,France,
CZE,CZ,CZE,Czechia,
SVN,SI,SVN,Slovenia,
POL,PL,POL,Poland,
ITA,IT,ITA,Italy,
USA,US,USA,United States,
GBR,GB,GBR,United Kingdom,
CAN,CA,CAN,Canada,
AUT,AT,AUT,Austria,
CHE,CH,CHE,Switzerland,
NLD,NL,NLD,Netherlands,
AUS,AU,AUS,Australia,
ESP,ES,ESP,Spain,
CHN,CN,CHN,China,
NZL,NZ,NZL,New Zealand,
BRA,BR,BRA,Brazil,
ARG,AR,ARG,Argentina,
RUS,RU,RUS,Russian Federation,
RCF,,RCF,RCF,
AND,AD,AND,Andorra,
MAR,MA,MAR,Morocco,
JPN,JP,JPN,Japan,
AIN,,AIN,Individual Neutral Athletes,
HUN,HU,HUN,Hungary,
UKR,UA,UKR,Ukraine,
CUB,CU,CUB,Cuba,
ROU,RO,ROU,Romania,
BLR,BY,BLR,Belarus,
UZB,UZ,UZB,Uzbekistan,
NOR,NO,NOR,Norway,
LTU,LT,LTU,Lithuania,
SWE,SE,SWE,Sweden,
BGR,BG,BGR,Bulgaria,
ISR,IL,ISR,Israel,
BEL,BE,BEL,Belgium,
KAZ,KZ,KAZ,Kazakhstan,
SCG,,SCG,Serbia and Montenegro,
MEX,MX,MEX,Mexico,
SRB,RS,SRB,Serbia,
FIN,FI,FIN,Finland,
AZE,AZ,AZE,Azerbaijan,
RSA,,RSA,RSA,
PRT,PT,PRT,Portugal,
DNK,DK,DNK,Denmark,
CHL,CL,CHL,Chile,
MDA,MD,MDA,"Moldova, Republic of",
GEO,GE,GEO,Georgia,
IRN,IR,IRN,"Iran, Islamic Republic of",
LVA,LV,LVA,Latvia,
ZAF,ZA,ZAF,South Africa,
IRL,IE,IRL,Ireland,
HRV,HR,HRV,Croatia,
GRC,GR,GRC,Greece,
