country_id,iso2,iso3,name_en,name_fr
DEU,DE,DEU,Germany,
AUT,AT,AUT,Austria,
SWE,SE,SWE,Sweden,
DNK,DK,DNK,Denmark,
TCH,,TCH,Czechoslovakia,
CHE,CH,CHE,Switzerland,
ROU,RO,ROU,Romania,
FRG,,FRG,West Germany,
URS,,URS,Soviet Union,
GDR,,GDR,East Germany,
YUG,,YUG,Yugoslavia,
POL,PL,POL,Poland,
HUN,HU,HUN,Hungary,
RUS,RU,RUS,Russian Federation,
FRA,FR,FRA,France,
HRV,HR,HRV,Croatia,
ESP,ES,ESP,Spain,
EGY,EG,EGY,Egypt,
TUN,TN,TUN,Tunisia,
SVN,SI,SVN,Slovenia,
QAT,QA,QAT,Qatar,
NOR,NO,NOR,Norway,
PRT,PT,PRT,Portugal,
KOR,KR,KOR,"Korea, Republic of",
UKR,UA,UKR,Ukraine,
BRA,BR,BRA,Brazil,
SRB,RS,SRB,Serbia,
NLD,NL,NLD,Netherlands,
